"01.w_Defects/bit_shift.c:106","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:120","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:133","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:146","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:163","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:175","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:193","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:208","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:21","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:225","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:236","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:33","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:45","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:57","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:69","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:81","/*ERROR:Bit shift error*/"
"01.w_Defects/bit_shift.c:93","/*ERROR:Bit shift error*/"
"01.w_Defects/buffer_overrun_dynamic.c:111","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:129","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:151","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:173","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:197","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:217","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:232","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:247","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:262","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:26","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:277","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:297","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:311","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:332","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:349","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:368","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:386","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:402","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:41","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:421","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:434","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:461","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:479","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:495","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:513","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:531","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:558","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:579","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:606","/*ERROR:Buffer overrun*///vm - Changed arri(int) to arr(char);"
"01.w_Defects/buffer_overrun_dynamic.c:61","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:76","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_overrun_dynamic.c:93","/*ERROR:Buffer overrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:114","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:132","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:154","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:177","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:201","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:221","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:236","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:252","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:267","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:282","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:28","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:302","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:316","/*ERROR:Buffer Underrun*/"
"01.w_Defects/buffer_underrun_dynamic.c:337","/*ERROR:Buffer Underrun*/"
