"01.w_Defects/bit_shift.c:106","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:133","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:146","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:163","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:175","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:193","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:208","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:21","warning: shift count >= width of type [clang-diagnostic-shift-count-overflow]"
"01.w_Defects/bit_shift.c:21","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:225","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:236","warning: shift count >= width of type [clang-diagnostic-shift-count-overflow]"
"01.w_Defects/bit_shift.c:236","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:45","warning: shift count >= width of type [clang-diagnostic-shift-count-overflow]"
"01.w_Defects/bit_shift.c:45","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:69","warning: shift count is negative [clang-diagnostic-shift-count-negative]"
"01.w_Defects/bit_shift.c:69","warning: The result of the '<<' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:81","warning: shift count >= width of type [clang-diagnostic-shift-count-overflow]"
"01.w_Defects/bit_shift.c:81","warning: The result of the '>>' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/bit_shift.c:93","warning: shift count is negative [clang-diagnostic-shift-count-negative]"
"01.w_Defects/bit_shift.c:93","warning: The result of the '>>' expression is undefined [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/buffer_overrun_dynamic.c:332","warning: The right operand of '+' is a garbage value [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/buffer_underrun_dynamic.c:177","warning: Dereference of undefined pointer value [clang-analyzer-core.NullDereference]"
"01.w_Defects/buffer_underrun_dynamic.c:647","warning: The left operand of '==' is a garbage value [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/buffer_underrun_dynamic.c:700","warning: Value stored to 'c' is never read [clang-analyzer-deadcode.DeadStores]"
"01.w_Defects/buffer_underrun_dynamic.c:721","warning: The left operand of '!=' is a garbage value [clang-analyzer-core.UndefinedBinaryOperatorResult]"
"01.w_Defects/cmp_funcadr.c:26","warning: comparison of function 'cmp_funcadr_001_func_001' equal to a null pointer is always false [clang-diagnostic-tautological-pointer-compare]"
"01.w_Defects/cmp_funcadr.c:48","warning: comparison of function 'cmp_funcadr_002_func_001' equal to a null pointer is always false [clang-diagnostic-tautological-pointer-compare]"
"01.w_Defects/data_overflow.c:318","warning: overflow in expression; result is -2147483648 with type 'int' [clang-diagnostic-integer-overflow]"
"01.w_Defects/data_underflow.c:81","warning: overflow in expression; result is 2147483647 with type 'int' [clang-diagnostic-integer-overflow]"
"01.w_Defects/double_free.c:101","warning: Attempt to free released memory [clang-analyzer-unix.Malloc]"
"01.w_Defects/double_free.c:115","warning: Attempt to free released memory [clang-analyzer-unix.Malloc]"
"01.w_Defects/double_free.c:131","warning: Attempt to free released memory [clang-analyzer-unix.Malloc]"
"01.w_Defects/double_free.c:149","warning: Attempt to free released memory [clang-analyzer-unix.Malloc]"
"01.w_Defects/double_free.c:168","warning: Attempt to free released memory [clang-analyzer-unix.Malloc]"
"01.w_Defects/double_free.c:187","warning: Attempt to free released memory [clang-analyzer-unix.Malloc]"
"01.w_Defects/double_free.c:204","warning: Attempt to free released memory [clang-analyzer-unix.Malloc]"
"01.w_Defects/double_free.c:222","warning: Attempt to free released memory [clang-analyzer-unix.Malloc]"
"01.w_Defects/double_free.c:22","warning: Attempt to free released memory [clang-analyzer-unix.Malloc]"
"01.w_Defects/free_nondynamic_allocated_memory.c:103","warning: Argument to free() is the address of the local variable 'd', which is not memory allocated by malloc() [clang-analyzer-unix.Malloc]"
"01.w_Defects/free_nondynamic_allocated_memory.c:115","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc() [clang-analyzer-unix.Malloc]"
"01.w_Defects/free_nondynamic_allocated_memory.c:128","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc() [clang-analyzer-unix.Malloc]"
"01.w_Defects/free_nondynamic_allocated_memory.c:141","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc() [clang-analyzer-unix.Malloc]"
"01.w_Defects/free_nondynamic_allocated_memory.c:155","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc() [clang-analyzer-unix.Malloc]"
"01.w_Defects/free_nondynamic_allocated_memory.c:170","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc() [clang-analyzer-unix.Malloc]"
"01.w_Defects/free_nondynamic_allocated_memory.c:187","warning: Argument to free() is the address of a global variable, which is not memory allocated by malloc() [clang-analyzer-unix.Malloc]"
"01.w_Defects/free_nondynamic_allocated_memory.c:209","warning: Argument to free() is the address of the local variable 'str', which is not memory allocated by malloc() [clang-analyzer-unix.Malloc]"
